burn_no.,lat,lon,date
449,32.764515,-94.711472,1/21/2020 0:00
450,32.767342,-94.706367,1/21/2020 0:00
451,33.431129,-94.473457,1/21/2020 0:00
452,32.276768,-92.730949,1/21/2020 0:00
453,33.434563,-94.472778,1/21/2020 0:00
454,32.760464,-94.70768,1/21/2020 0:00
455,32.529621,-92.224655,1/21/2020 0:00
456,33.115028,-93.230637,1/21/2020 0:00
457,32.042767,-91.835312,1/21/2020 0:00
458,32.043365,-91.831192,1/21/2020 0:00
459,32.03944,-91.834663,1/21/2020 0:00
460,33.456303,-94.003296,1/21/2020 0:00
461,34.11306,-93.928635,1/21/2020 0:00
462,35.613518,-92.184212,1/21/2020 0:00
463,34.061466,-91.56575,1/21/2020 0:00
464,35.40799,-91.954399,1/21/2020 0:00
465,35.643803,-92.522758,1/21/2020 0:00
466,34.589237,-92.054169,1/21/2020 0:00
467,34.815788,-91.674553,1/21/2020 0:00
468,35.888824,-89.780144,1/21/2020 0:00
469,34.113705,-93.924484,1/21/2020 0:00
470,36.606419,-94.773453,1/25/2020 0:00
471,32.447826,-94.693764,1/25/2020 0:00
472,35.794155,-91.746292,1/26/2020 0:00
473,36.316689,-92.982018,1/26/2020 0:00
474,35.7953,-91.744278,1/27/2020 0:00
475,33.054169,-94.055328,1/27/2020 0:00
476,35.933838,-89.714996,1/27/2020 0:00
477,33.049931,-94.057495,1/27/2020 0:00
478,34.850536,-89.903946,1/27/2020 0:00
479,35.273876,-91.353111,1/27/2020 0:00
480,35.483047,-90.724976,1/27/2020 0:00
481,33.256016,-94.064049,1/27/2020 0:00
482,33.049622,-94.059395,1/27/2020 0:00
483,35.935974,-89.714279,1/27/2020 0:00
484,35.671032,-92.079758,1/27/2020 0:00
485,36.559952,-94.683113,1/27/2020 0:00
486,35.890854,-89.781036,1/28/2020 0:00
487,35.946159,-89.713326,1/28/2020 0:00
488,35.938004,-89.714638,1/28/2020 0:00
489,35.642002,-89.944443,1/28/2020 0:00
490,35.580013,-94.104889,1/28/2020 0:00
491,35.649292,-89.934135,1/28/2020 0:00
492,34.85318,-89.904175,1/28/2020 0:00
493,35.797035,-91.746979,1/28/2020 0:00
494,35.045967,-90.16568,1/28/2020 0:00
495,35.051167,-90.162117,1/28/2020 0:00
496,33.268867,-92.69017,1/28/2020 0:00
497,33.267086,-92.691147,1/28/2020 0:00
498,33.926125,-90.764259,1/28/2020 0:00
499,35.047028,-90.162758,1/28/2020 0:00
500,35.793629,-91.743645,1/28/2020 0:00
501,35.79306,-91.747025,1/28/2020 0:00
502,35.271992,-91.352325,1/31/2020 0:00
503,33.193909,-93.167786,2/1/2020 0:00
504,32.330933,-92.849724,2/1/2020 0:00
505,33.053043,-94.052177,2/1/2020 0:00
506,34.851532,-89.90139,2/1/2020 0:00
507,34.850925,-89.905891,2/1/2020 0:00
508,32.352108,-92.656471,2/1/2020 0:00
509,33.151936,-92.690544,2/1/2020 0:00
510,33.151268,-92.694679,2/1/2020 0:00
